Topic,Date,nNews,nPos,nNeg,meansen,pmn,action
EUR/USD,2024-09-13,1,0,0,0.0,0,0
EUR/USD,2024-09-15,1,0,0,0.0,0,0
EUR/USD,2024-09-16,1,0,0,0.0,0,0
EUR/USD,2024-09-18,3,0,1,-0.09106666666666667,-1,-1
EUR/USD,2024-09-19,3,0,2,-0.1897333333333333,-2,-1
EUR/USD,2024-09-20,8,1,0,0.0222375,1,1
EUR/USD,2024-09-22,1,0,0,0.0,0,-1
EUR/USD,2024-09-23,23,5,8,-0.1010304347826087,-3,-1
EUR/USD,2024-09-24,23,5,5,-0.017221739130434784,0,1
EUR/USD,2024-09-25,25,7,7,0.002632000000000001,0,0
EUR/USD,2024-09-26,2,0,0,0.0,0,0
EUR/USD,2024-09-27,2,0,0,0.0,0,0
